section,label,sectionCamel,labelCamel,proposedV3FieldName,Dissonance_Attack_2026-04-09,Dissonance_Defense_2026-04-09,Dissonance_UltimateWeapons_2026-04-09,Dissonance_Utility_2026-04-10,Farming_2026-04-11,Tournament_2026-04-10,presenceCount
Damage Blocked,Defense Absolute,damageBlocked,defenseAbsolute,damageBlockedDefenseAbsolute,x,x,x,x,x,x,6
Damage Blocked,Flame Bot,damageBlocked,flameBot,damageBlockedFlameBot,x,x,x,x,x,x,6
Damage Blocked,Negative Mass Projector,damageBlocked,negativeMassProjector,damageBlockedNegativeMassProjector,x,x,x,x,x,x,6
Damage Blocked,Primordial Collapse,damageBlocked,primordialCollapse,damageBlockedPrimordialCollapse,x,x,x,x,x,x,6
Damage Taken,Tower,damageTaken,tower,damageTakenTower,x,x,x,x,x,x,6
Damage Taken,Wall,damageTaken,wall,damageTakenWall,x,x,x,x,x,x,6
Enemies Destroyed By,Black Hole,enemiesDestroyedBy,blackHole,enemiesDestroyedByBlackHole,x,x,x,x,x,x,6
Enemies Destroyed By,Chain Lightning,enemiesDestroyedBy,chainLightning,enemiesDestroyedByChainLightning,x,x,x,x,x,x,6
Enemies Destroyed By,Death Ray,enemiesDestroyedBy,deathRay,enemiesDestroyedByDeathRay,x,x,x,x,x,x,6
Enemies Destroyed By,Flame Bot,enemiesDestroyedBy,flameBot,enemiesDestroyedByFlameBot,x,x,x,x,x,x,6
Enemies Destroyed By,Inner Land Mines,enemiesDestroyedBy,innerLandMines,enemiesDestroyedByInnerLandMines,x,x,x,x,x,x,6
Enemies Destroyed By,Land Mines,enemiesDestroyedBy,landMines,enemiesDestroyedByLandMines,x,x,x,x,x,x,6
Enemies Destroyed By,Orbs,enemiesDestroyedBy,orbs,enemiesDestroyedByOrbs,x,x,x,x,x,x,6
Enemies Destroyed By,Other,enemiesDestroyedBy,other,enemiesDestroyedByOther,x,x,x,x,x,x,6
Enemies Destroyed By,Poison Swamp,enemiesDestroyedBy,poisonSwamp,enemiesDestroyedByPoisonSwamp,x,x,x,x,x,x,6
Enemies Destroyed By,Projectiles,enemiesDestroyedBy,projectiles,enemiesDestroyedByProjectiles,x,x,x,x,x,x,6
Enemies Destroyed By,Smart Missiles,enemiesDestroyedBy,smartMissiles,enemiesDestroyedBySmartMissiles,x,x,x,x,x,x,6
Enemies Destroyed By,Thorns,enemiesDestroyedBy,thorns,enemiesDestroyedByThorns,x,x,x,x,x,x,6
Enemies Hit By,Attack Chip,enemiesHitBy,attackChip,enemiesHitByAttackChip,x,x,x,x,x,x,6
Enemies Hit By,Black Hole,enemiesHitBy,blackHole,enemiesHitByBlackHole,x,x,x,x,x,x,6
Enemies Hit By,Chain Lightning,enemiesHitBy,chainLightning,enemiesHitByChainLightning,x,x,x,x,x,x,6
Enemies Hit By,Chrono Field,enemiesHitBy,chronoField,enemiesHitByChronoField,x,x,x,x,x,x,6
Enemies Hit By,Death Ray,enemiesHitBy,deathRay,enemiesHitByDeathRay,x,x,x,x,x,x,6
Enemies Hit By,Death Wave,enemiesHitBy,deathWave,enemiesHitByDeathWave,x,x,x,x,x,x,6
Enemies Hit By,Flame Bot,enemiesHitBy,flameBot,enemiesHitByFlameBot,x,x,x,x,x,x,6
Enemies Hit By,Inner Land Mines,enemiesHitBy,innerLandMines,enemiesHitByInnerLandMines,x,x,x,x,x,x,6
Enemies Hit By,Land Mines,enemiesHitBy,landMines,enemiesHitByLandMines,x,x,x,x,x,x,6
Enemies Hit By,Orbital Augment,enemiesHitBy,orbitalAugment,enemiesHitByOrbitalAugment,x,x,x,x,x,x,6
Enemies Hit By,Orbs,enemiesHitBy,orbs,enemiesHitByOrbs,x,x,x,x,x,x,6
Enemies Hit By,Poison Swamp,enemiesHitBy,poisonSwamp,enemiesHitByPoisonSwamp,x,x,x,x,x,x,6
Enemies Hit By,Projectiles,enemiesHitBy,projectiles,enemiesHitByProjectiles,x,x,x,x,x,x,6
Enemies Hit By,Smart Missiles,enemiesHitBy,smartMissiles,enemiesHitBySmartMissiles,x,x,x,x,x,x,6
Enemies Hit By,Thorns,enemiesHitBy,thorns,enemiesHitByThorns,x,x,x,x,x,x,6
Enemies Hit By,Thunder Bot,enemiesHitBy,thunderBot,enemiesHitByThunderBot,x,x,x,x,x,x,6
Health Regenerated,Lifesteal,healthRegenerated,lifesteal,healthRegeneratedLifesteal,x,x,x,x,x,x,6
Health Regenerated,Tower Health Regen,healthRegenerated,towerHealthRegen,healthRegeneratedTowerHealthRegen,x,x,x,x,x,x,6
Health Regenerated,Wall Health Regen,healthRegenerated,wallHealthRegen,healthRegeneratedWallHealthRegen,x,x,x,x,x,x,6
Killed With Effect Active,Amplify Bot,killedWithEffectActive,amplifyBot,killedWithEffectActiveAmplifyBot,x,x,x,x,x,x,6
Killed With Effect Active,Death Penalty,killedWithEffectActive,deathPenalty,killedWithEffectActiveDeathPenalty,x,x,x,x,x,x,6
Killed With Effect Active,Death Wave,killedWithEffectActive,deathWave,killedWithEffectActiveDeathWave,x,x,x,x,x,x,6
Killed With Effect Active,Golden Bot,killedWithEffectActive,goldenBot,killedWithEffectActiveGoldenBot,x,x,x,x,x,x,6
Killed With Effect Active,Golden Tower,killedWithEffectActive,goldenTower,killedWithEffectActiveGoldenTower,x,x,x,x,x,x,6
Killed With Effect Active,Spotlight,killedWithEffectActive,spotlight,killedWithEffectActiveSpotlight,x,x,x,x,x,x,6
Records,Highest Coins / Minute,records,highestCoinsMinute,recordsHighestCoinsMinute,x,x,x,x,x,x,6
Records,Largest Golden Combo,records,largestGoldenCombo,recordsLargestGoldenCombo,x,x,x,x,x,x,6
Records,Largest Inner Landmine Charge,records,largestInnerLandmineCharge,recordsLargestInnerLandmineCharge,x,x,x,x,x,x,6
Records,Largest Smart Missile Stack,records,largestSmartMissileStack,recordsLargestSmartMissileStack,x,x,x,x,x,x,6
Records,Largest Wave Skip,records,largestWaveSkip,recordsLargestWaveSkip,x,x,x,x,x,x,6
Records,Most Cells From Wave Skip,records,mostCellsFromWaveSkip,recordsMostCellsFromWaveSkip,x,x,x,x,x,x,6
Records,Most Coins From Golden Combo,records,mostCoinsFromGoldenCombo,recordsMostCoinsFromGoldenCombo,x,x,x,x,x,x,6
Records,Most Coins From Wave Skip,records,mostCoinsFromWaveSkip,recordsMostCoinsFromWaveSkip,x,x,x,x,x,x,6
Total Enemies,Basic,totalEnemies,basic,totalEnemiesBasic,x,x,x,x,x,x,6
Total Enemies,Boss,totalEnemies,boss,totalEnemiesBoss,x,x,x,x,x,x,6
Total Enemies,Commander,totalEnemies,commander,totalEnemiesCommander,x,x,x,x,x,x,6
Total Enemies,Fast,totalEnemies,fast,totalEnemiesFast,x,x,x,x,x,x,6
Total Enemies,Overcharge,totalEnemies,overcharge,totalEnemiesOvercharge,x,x,x,x,x,x,6
Total Enemies,Protector,totalEnemies,protector,totalEnemiesProtector,x,x,x,x,x,x,6
Total Enemies,Ranged,totalEnemies,ranged,totalEnemiesRanged,x,x,x,x,x,x,6
Total Enemies,Rays,totalEnemies,rays,totalEnemiesRays,x,x,x,x,x,x,6
Total Enemies,Saboteur,totalEnemies,saboteur,totalEnemiesSaboteur,x,x,x,x,x,x,6
Total Enemies,Scatters,totalEnemies,scatters,totalEnemiesScatters,x,x,x,x,x,x,6
Total Enemies,Summoned Enemies,totalEnemies,summonedEnemies,totalEnemiesSummonedEnemies,x,x,x,x,x,x,6
Total Enemies,Tank,totalEnemies,tank,totalEnemiesTank,x,x,x,x,x,x,6
Total Enemies,Total Enemies,totalEnemies,totalEnemies,totalEnemiesTotalEnemies,x,x,x,x,x,x,6
Total Enemies,Vampires,totalEnemies,vampires,totalEnemiesVampires,x,x,x,x,x,x,6
Utility,Enemy Attack Levels Skipped,utility,enemyAttackLevelsSkipped,utilityEnemyAttackLevelsSkipped,x,x,x,x,x,x,6
Utility,Enemy Health Levels Skipped,utility,enemyHealthLevelsSkipped,utilityEnemyHealthLevelsSkipped,x,x,x,x,x,x,6
Utility,Free Attack Upgrade,utility,freeAttackUpgrade,utilityFreeAttackUpgrade,x,x,x,x,x,x,6
Utility,Free Defense Upgrade,utility,freeDefenseUpgrade,utilityFreeDefenseUpgrade,x,x,x,x,x,x,6
Utility,Free Utility Upgrade,utility,freeUtilityUpgrade,utilityFreeUtilityUpgrade,x,x,x,x,x,x,6
Utility,Recovery Packages,utility,recoveryPackages,utilityRecoveryPackages,x,x,x,x,x,x,6
